NumTree,Number_bridges_Of_Question_i,Gender,Age,Number_of_bridges,Delta_Learning_Minutes,depth,Accuracy,correct_model,QuestionId
1,1,Male,25,2,1.583333333,1,72,1,1
1,1,Male,25,2,1.583333333,1,72,1,2
1,1,Male,25,2,1.583333333,1,72,1,3
1,1,Male,25,2,1.583333333,1,72,1,4
1,1,Male,25,2,1.583333333,1,72,1,5
1,1,Male,25,2,1.583333333,1,72,1,6
1,1,Male,25,2,1.583333333,1,72,1,7
1,1,Male,25,2,1.583333333,1,72,1,8
1,1,Male,25,2,1.583333333,1,72,1,9
1,1,Male,25,2,1.583333333,1,72,1,10
1,1,Male,25,2,1.583333333,1,72,1,11
1,1,Male,25,2,1.583333333,1,72,1,12
1,1,Male,44,2,1.116666667,1,72,1,1
1,1,Male,44,2,1.116666667,1,72,1,2
1,1,Male,44,2,1.116666667,1,72,1,3
1,1,Male,44,2,1.116666667,1,72,1,4
1,1,Male,44,2,1.116666667,1,72,1,5
1,1,Male,44,2,1.116666667,1,72,1,6
1,1,Male,44,2,1.116666667,1,72,1,7
1,1,Male,44,2,1.116666667,1,72,1,8
1,1,Male,44,2,1.116666667,1,72,1,9
1,1,Male,44,2,1.116666667,1,72,1,10
1,1,Male,44,2,1.116666667,1,72,1,11
1,1,Male,44,2,1.116666667,1,72,1,12
1,1,Female,32,2,0.7,1,72,1,1
1,1,Female,32,2,0.7,1,72,1,2
1,1,Female,32,2,0.7,1,72,1,3
1,1,Female,32,2,0.7,1,72,1,4
1,1,Female,32,2,0.7,1,72,1,5
1,1,Female,32,2,0.7,1,72,1,6
1,1,Female,32,2,0.7,1,72,0,7
1,1,Female,32,2,0.7,1,72,1,8
1,1,Female,32,2,0.7,1,72,1,9
1,1,Female,32,2,0.7,1,72,1,10
1,1,Female,32,2,0.7,1,72,1,11
1,1,Female,32,2,0.7,1,72,1,12
1,1,Male,45,2,1.016666667,1,72,1,1
1,1,Male,45,2,1.016666667,1,72,1,2
1,1,Male,45,2,1.016666667,1,72,1,3
1,1,Male,45,2,1.016666667,1,72,1,4
1,1,Male,45,2,1.016666667,1,72,1,5
1,1,Male,45,2,1.016666667,1,72,1,6
1,1,Male,45,2,1.016666667,1,72,1,7
1,1,Male,45,2,1.016666667,1,72,1,8
1,1,Male,45,2,1.016666667,1,72,1,9
