NumTree,QuestionId,Number_bridges_Of_Question_i,Gender,Age,Number_of_bridges,Delta_Learning_Minutes,depth,Accuracy,correct_model
2,4,2,Female,57,7,0.683333333,2,80,0
2,5,2,Female,57,7,0.683333333,2,80,1
2,6,2,Female,57,7,0.683333333,2,80,0
2,7,2,Female,57,7,0.683333333,2,80,0
2,8,2,Female,57,7,0.683333333,2,80,0
2,9,2,Female,57,7,0.683333333,2,80,0
2,10,2,Female,57,7,0.683333333,2,80,0
2,11,2,Female,57,7,0.683333333,2,80,0
2,12,2,Female,57,7,0.683333333,2,80,1
2,1,2,Female,34,7,2.6,2,80,1
2,2,2,Female,34,7,2.6,2,80,1
2,3,2,Female,34,7,2.6,2,80,1
2,4,2,Female,34,7,2.6,2,80,1
2,5,2,Female,34,7,2.6,2,80,1
2,6,2,Female,34,7,2.6,2,80,1
2,7,2,Female,34,7,2.6,2,80,1
2,8,2,Female,34,7,2.6,2,80,1
2,9,2,Female,34,7,2.6,2,80,1
2,10,2,Female,34,7,2.6,2,80,1
2,11,2,Female,34,7,2.6,2,80,1
2,12,2,Female,34,7,2.6,2,80,1
2,1,2,Female,36,7,2.15,2,80,1
2,2,2,Female,36,7,2.15,2,80,1
2,3,2,Female,36,7,2.15,2,80,1
2,4,2,Female,36,7,2.15,2,80,0
2,5,2,Female,36,7,2.15,2,80,1
2,6,2,Female,36,7,2.15,2,80,1
2,7,2,Female,36,7,2.15,2,80,1
2,8,2,Female,36,7,2.15,2,80,1
2,9,2,Female,36,7,2.15,2,80,1
2,10,2,Female,36,7,2.15,2,80,1
2,11,2,Female,36,7,2.15,2,80,1
2,12,2,Female,36,7,2.15,2,80,0
2,1,2,Male,36,7,2.1,2,80,1
2,2,2,Male,36,7,2.1,2,80,1
2,3,2,Male,36,7,2.1,2,80,1
2,4,2,Male,36,7,2.1,2,80,1
2,5,2,Male,36,7,2.1,2,80,1
2,6,2,Male,36,7,2.1,2,80,1
2,7,2,Male,36,7,2.1,2,80,1
2,8,2,Male,36,7,2.1,2,80,1
2,9,2,Male,36,7,2.1,2,80,1
2,10,2,Male,36,7,2.1,2,80,1
2,11,2,Male,36,7,2.1,2,80,1
2,12,2,Male,36,7,2.1,2,80,1
2,1,2,Male,59,7,1.85,2,80,0
2,2,2,Male,59,7,1.85,2,80,1
2,3,2,Male,59,7,1.85,2,80,0
2,4,2,Male,59,7,1.85,2,80,1
2,5,2,Male,59,7,1.85,2,80,1
2,6,2,Male,59,7,1.85,2,80,1
2,7,2,Male,59,7,1.85,2,80,1
2,8,2,Male,59,7,1.85,2,80,1
2,9,2,Male,59,7,1.85,2,80,0
2,10,2,Male,59,7,1.85,2,80,0
2,11,2,Male,59,7,1.85,2,80,1
2,12,2,Male,59,7,1.85,2,80,0
1,1,1,Female,67,2,1.283333333,1,60,1
1,2,1,Female,67,2,1.283333333,1,60,1
1,3,1,Female,67,2,1.283333333,1,60,1
1,4,1,Female,67,2,1.283333333,1,60,1
1,5,1,Female,67,2,1.283333333,1,60,1
1,6,1,Female,67,2,1.283333333,1,60,1
1,7,1,Female,67,2,1.283333333,1,60,1
1,8,1,Female,67,2,1.283333333,1,60,1
1,9,1,Female,67,2,1.283333333,1,60,1
1,10,1,Female,67,2,1.283333333,1,60,1
1,11,1,Female,67,2,1.283333333,1,60,1
1,12,1,Female,67,2,1.283333333,1,60,1
1,1,1,Female,25,2,0.5,1,60,1
1,2,1,Female,25,2,0.5,1,60,1
1,3,1,Female,25,2,0.5,1,60,1
1,4,1,Female,25,2,0.5,1,60,1
1,5,1,Female,25,2,0.5,1,60,1
1,6,1,Female,25,2,0.5,1,60,1
1,7,1,Female,25,2,0.5,1,60,1
1,8,1,Female,25,2,0.5,1,60,1
1,9,1,Female,25,2,0.5,1,60,1
1,10,1,Female,25,2,0.5,1,60,1
1,11,1,Female,25,2,0.5,1,60,1
1,12,1,Female,25,2,0.5,1,60,1
1,1,1,Female,35,2,0.716666667,1,60,1
1,2,1,Female,35,2,0.716666667,1,60,1
1,3,1,Female,35,2,0.716666667,1,60,1
1,4,1,Female,35,2,0.716666667,1,60,1
1,5,1,Female,35,2,0.716666667,1,60,1
1,6,1,Female,35,2,0.716666667,1,60,1
1,7,1,Female,35,2,0.716666667,1,60,1
1,8,1,Female,35,2,0.716666667,1,60,1
1,9,1,Female,35,2,0.716666667,1,60,1
1,10,1,Female,35,2,0.716666667,1,60,1
1,11,1,Female,35,2,0.716666667,1,60,1
1,12,1,Female,35,2,0.716666667,1,60,1
1,1,1,Female,28,2,1.1,1,60,1
1,2,1,Female,28,2,1.1,1,60,1
1,3,1,Female,28,2,1.1,1,60,1
1,4,1,Female,28,2,1.1,1,60,0
1,5,1,Female,28,2,1.1,1,60,1
1,6,1,Female,28,2,1.1,1,60,1
1,7,1,Female,28,2,1.1,1,60,1
1,8,1,Female,28,2,1.1,1,60,1
1,9,1,Female,28,2,1.1,1,60,1
1,10,1,Female,28,2,1.1,1,60,1
1,11,1,Female,28,2,1.1,1,60,1
