NumTree,Gender,Delta_Learning_Minutes,Age,Number_of_bridges,Number_of_nodes,depth,Accuracy,correct_model,correct_real
1,Female,0.45,48,2,1,1,60,0.833333333,0.416666667
1,Female,1.433333333,,2,1,1,60,1,0.583333333
3,Male,1.416666667,49,26,10,4,89,0.666666667,0.583333333
1,Male,0.466666667,67,2,1,1,60,0.916666667,0.583333333
2,Female,1.683333333,30,7,3,2,80,0.916666667,0.75
2,Male,4.1,77,7,3,2,80,0.75,0.75
4,Male,1.3,36,4,2,2,68,0.666666667,0.333333333
1,Female,1.283333333,67,2,1,1,60,1,0.583333333
1,Female,0.616666667,56,2,1,1,60,0.833333333,0.583333333
3,Female,4.366666667,32,26,10,4,89,0.5,0.416666667
5,Female,1.55,64,5,2,2,75,1,0.75
2,Female,0.433333333,33,7,3,2,80,0.583333333,0.5
5,Male,1.866666667,32,5,2,2,75,1,0.75
4,Male,0.416666667,30,4,2,2,68,0.5,0.5
3,Female,1,63,26,10,4,89,0.75,0.666666667
1,Female,0.766666667,48,2,1,1,60,0.75,0.666666667
4,Female,0.5,63,4,2,2,68,0.916666667,0.583333333
2,Male,2.1,36,7,3,2,80,1,0.833333333
3,Male,0.8,25,26,10,4,89,0.5,0.416666667
5,Female,0.516666667,37,5,2,2,75,0.833333333,0.583333333
4,Male,2.933333333,41,4,2,2,68,1,0.666666667
3,Female,0.516666667,35,26,10,4,89,0.416666667,0.416666667
4,Female,0.95,31,4,2,2,68,0.916666667,0.583333333
4,Female,1.066666667,27,4,2,2,68,1,0.666666667
2,Male,0.683333333,,7,3,2,80,0.583333333,0.583333333
5,Male,1.183333333,36,5,2,2,75,1,0.75
4,Male,0.633333333,37,4,2,2,68,0.666666667,0.5
2,Male,2.466666667,54,7,3,2,80,1,0.833333333
3,Female,6.2,54,26,10,4,89,0.5,0.5
